Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Кофе растворимый Monarch Original, 400 г;258846372;8060126;https://www.ozon.ru/product/258846372;Monarch;Продукты питания;Кофе растворимый;Нет;55 090 324 ₽;-39%;52 524;0 ₽;1 049 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,9;45,0%;58,0%;1 287 528;497 039;1,21%;13,40%;1,1%;0,0%;0001-01-01
Кофе в зернах 1 кг, 100% Арабика, Бразилия, Сул де Минас, DON CUP ESPRESSO PREMIUM BLEND свежеобжаренный зерновой кофе;1099382185;АВ-0000005;https://www.ozon.ru/product/1099382185;DON CUP;Продукты питания;Кофе в зернах;Нет;32 845 104 ₽;+6%;22 105;0 ₽;1 486 ₽;0 ₽;4 из 28;1 168 592 ₽;787;FBO;28 ч;3,1;38,0%;47,0%;1 518 718;192 824;0,52%;15,35%;4,4%;97,9%;2023-07-26
Кофе в зернах DeLonghi MILK SELECTION BLEND, 1кг;674786503;5513284931;https://www.ozon.ru/product/674786503;DeLonghi;Продукты питания;Кофе в зернах;Нет;27 359 442 ₽;+46%;15 539;0 ₽;1 761 ₽;0 ₽;17 из 28;485 726 ₽;281;FBO;47 ч;4,0;37,0%;44,0%;951 362;167 826;0,76%;11,29%;4,3%;97,3%;2022-08-16
Кофе в зернах БРАЗИЛИЯ Espresso Интенсив Арабика, Робуста 1 кг Высший сорт;1687029357;АВ-0000020;https://www.ozon.ru/product/1687029357;DON CUP;Продукты питания;Кофе в зернах;Нет;25 999 530 ₽;+27%;21 413;0 ₽;1 214 ₽;0 ₽;7 из 28;924 547 ₽;762;FBO;28 ч;2,8;38,0%;48,0%;1 097 881;238 201;0,74%;14,39%;2,7%;97,6%;2024-09-09
Кофе растворимый Monarch Original, 800 г;1040586790;4070479;https://www.ozon.ru/product/1040586790;Monarch;Продукты питания;Кофе растворимый;Нет;24 757 816 ₽;-40%;12 008;0 ₽;2 062 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,5;36,0%;43,0%;470 015;120 469;0,72%;13,72%;1,0%;0,0%;0001-01-01
Кофе в зёрнах Piazza del Caffee Crema Vellutata, робуста, 1 кг;147404011;1367-06, 1369-06-0, 1367-06-0, 1367-06-0;https://www.ozon.ru/product/147404011;Piazza del Caffe;Продукты питания;Кофе в зернах;Нет;18 104 916 ₽;+3%;13 548;0 ₽;1 336 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,4;40,0%;50,0%;1 003 720;156 910;0,86%;10,72%;8,7%;0,0%;0001-01-01
Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;643726547;2МЭ002ЗЕРН;https://www.ozon.ru/product/643726547;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;17 109 844 ₽;-4%;7 696;0 ₽;2 223 ₽;0 ₽;25 из 28;600 435 ₽;270;FBO;49 ч;4,2;36,0%;44,0%;761 251;87 313;0,53%;10,70%;9,7%;95,7%;2022-07-15
Кофе в зернах Tasty Coffee Натти, 1 кг;715106535;03ЭС020;https://www.ozon.ru/product/715106535;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;16 466 805 ₽;+15%;7 453;1 ₽;2 209 ₽;0 ₽;26 из 28;580 635 ₽;263;FBO;48 ч;7,0;38,0%;46,0%;1 209 690;111 074;0,42%;8,99%;12,2%;96,1%;2022-09-16
Кофе растворимый Нескафе Голд, 500 г;149710140;12348494;https://www.ozon.ru/product/149710140;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;15 839 352 ₽;-55%;10 752;0 ₽;1 473 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,9;38,0%;46,0%;593 285;147 416;0,76%;9,28%;2,9%;0,0%;0001-01-01
Кофе растворимый Monarch Original, 270 г;281052098;8052852;https://www.ozon.ru/product/281052098;Monarch;Продукты питания;Кофе растворимый;Нет;15 361 420 ₽;-34%;19 026;0 ₽;807 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,4;37,0%;46,0%;835 038;248 154;1,00%;11,62%;2,0%;0,0%;0001-01-01
Кофе в зёрнах Jardin Crema, арабика, робуста, 1 кг;33069284;0846-06-0, 0846-06-0;https://www.ozon.ru/product/33069284;Jardin;Продукты питания;Кофе в зернах;Нет;14 182 441 ₽;-34%;8 842;1 ₽;1 604 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,7;38,0%;46,0%;1 644 909;105 489;0,38%;9,52%;21,6%;0,0%;0001-01-01
Кофе в зернах 1 кг, ESPRESSO PREMIUM DE JANEIRO, арабика 100%;183196970;DJ-PREMIUM-1000;https://www.ozon.ru/product/183196970;DE JANEIRO;Продукты питания;Кофе в зернах;Нет;14 019 411 ₽;-32%;8 086;0 ₽;1 734 ₽;0 ₽;10 из 28;494 090 ₽;285;FBO;38 ч;2,9;35,0%;42,0%;703 933;87 327;0,33%;13,02%;3,7%;96,9%;2020-07-29
Кофе в зернах DeLonghi ESPRESSO SELECTION BLEND, 1кг;578251273;5513284921;https://www.ozon.ru/product/578251273;DeLonghi;Продукты питания;Кофе в зернах;Нет;12 610 660 ₽;0%;6 795;1 ₽;1 856 ₽;0 ₽;16 из 28;211 982 ₽;115;FBO;42 ч;4,0;37,0%;45,0%;563 585;101 468;0,46%;10,51%;4,8%;96,1%;2022-05-05
Кофе в зернах 1 кг, 100% АРАБИКА , Бразилия, Сантос, свежая обжарка;1142574343;INBRSANTOS1000;https://www.ozon.ru/product/1142574343;initio de coffee;Продукты питания;Кофе в зернах;Нет;12 265 751 ₽;+53%;7 531;0 ₽;1 629 ₽;0 ₽;16 из 28;436 198 ₽;268;FBO;34 ч;3,0;37,0%;45,0%;787 772;99 742;0,36%;11,35%;5,1%;97,1%;2023-08-18
Кофе растворимый BUSHIDO Original, 100 г;34362301;7610121710318;https://www.ozon.ru/product/34362301;BUSHIDO;Продукты питания;Кофе растворимый;Нет;11 508 229 ₽;-51%;13 714;0 ₽;839 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;37,0%;46,0%;489 681;110 474;1,55%;11,65%;2,2%;0,0%;0001-01-01
Кофе растворимый Нескафе Классик, 500 г;173826820;12434406;https://www.ozon.ru/product/173826820;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;11 401 182 ₽;-44%;9 746;1 ₽;1 170 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,8;38,0%;46,0%;566 130;87 436;0,70%;13,22%;3,5%;0,0%;0001-01-01
Кофе в зёрнах Piazza del Caffe Espresso Forte, робуста, 1 кг;140322887;1097-06-02, 1097-06-03;https://www.ozon.ru/product/140322887;Piazza del Caffe;Продукты питания;Кофе в зернах;Нет;11 287 204 ₽;-13%;8 167;0 ₽;1 382 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,8;40,0%;50,0%;635 606;124 432;0,69%;8,73%;9,6%;0,0%;0001-01-01
Кофе в зернах 1 кг, Julius Meinl Вена Меланж;1015925564;95331;https://www.ozon.ru/product/1015925564;Julius Meinl;Продукты питания;Кофе в зернах;Нет;11 146 328 ₽;+13%;6 872;0 ₽;1 622 ₽;0 ₽;6 из 28;219 155 ₽;135;FBO;28 ч;4,2;38,0%;47,0%;600 951;68 939;0,63%;12,17%;0,9%;94,5%;2023-06-05
Кофе в зёрнах Ozon fresh Brazil Single Origin, 1 кг;965387740;4607973271756;https://www.ozon.ru/product/965387740;Ozon fresh;Продукты питания;Кофе в зернах;Нет;10 861 604 ₽;+3%;9 850;1 ₽;1 103 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,4;42,0%;54,0%;263 041;95 821;1,15%;11,24%;0,0%;0,0%;0001-01-01
Кофе в зернах 1 кг Эфиопия Сидамо Гуджи 100% Арабика Высший сорт;1687067871;АВ-0000023;https://www.ozon.ru/product/1687067871;DON CUP;Продукты питания;Кофе в зернах;Нет;10 406 090 ₽;+28%;7 222;0 ₽;1 441 ₽;0 ₽;6 из 28;369 732 ₽;257;FBO;28 ч;2,6;37,0%;46,0%;643 475;76 884;0,39%;14,84%;4,5%;98,0%;2024-09-09
Кофе молотый Жокей По-восточному, 250 г;33069368;0270-12, 0270-12-0, 0270-12-0;https://www.ozon.ru/product/33069368;Жокей;Продукты питания;Кофе молотый;Нет;9 177 984 ₽;-31%;26 118;0 ₽;351 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;47,0%;65,0%;366 610;120 946;2,31%;16,12%;0,0%;0,0%;0001-01-01
Кофе жареный зерновой RICH D'OR 1 кг;2215828663;4607973272067;https://www.ozon.ru/product/2215828663;RICH D'OR;Продукты питания;Кофе в зернах;Нет;8 907 830 ₽;+10%;8 068;86 ₽;1 104 ₽;0 ₽;20 из 28;314 312 ₽;285;FBO;34 ч;4,3;41,0%;53,0%;225 504;72 381;1,50%;19,85%;0,1%;96,2%;2025-05-31
Кофе в зернах Tasty Coffee Эфиопия Иргачефф, 1 кг;332381279;2МЭ001ЗЕРН;https://www.ozon.ru/product/332381279;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;8 386 807 ₽;+11%;3 739;0 ₽;2 243 ₽;0 ₽;26 из 28;296 772 ₽;132;FBO;48 ч;7,4;37,0%;45,0%;422 052;42 263;0,53%;12,41%;11,4%;96,5%;2021-09-27
Кофе в зернах 1 кг ,Московская кофейня на паяхъ, Арабика;935350313;4601985103500;https://www.ozon.ru/product/935350313;Московская кофейня на паяхъ;Продукты питания;Кофе в зернах;Нет;8 309 607 ₽;-2%;4 728;1 ₽;1 758 ₽;0 ₽;23 из 28;293 922 ₽;167;FBO;40 ч;4,3;38,0%;46,0%;1 038 905;53 902;0,25%;12,13%;13,1%;96,4%;2023-04-13
Кофе молотый Lavazza Crema e Gusto, 250 г;32933700;3876;https://www.ozon.ru/product/32933700;Lavazza;Продукты питания;Кофе молотый;Нет;8 277 004 ₽;-24%;14 505;0 ₽;571 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,6;42,0%;54,0%;314 903;56 112;2,52%;14,91%;0,0%;0,0%;0001-01-01
Кофе в зернах 1 кг, Julius Meinl Prasident (Президент);171466416;89933;https://www.ozon.ru/product/171466416;Julius Meinl;Продукты питания;Кофе в зернах;Нет;8 093 719 ₽;+4%;4 141;0 ₽;1 955 ₽;0 ₽;9 из 28;145 132 ₽;75;FBO;31 ч;4,5;37,0%;45,0%;693 413;49 651;0,39%;9,14%;1,2%;95,5%;2020-03-31
Кофе в зернах, 100% арабика премиум, Можиана 1 кг;1573928909;BR_Coffee_1kg;https://www.ozon.ru/product/1573928909;JORGE;Продукты питания;Кофе в зернах;Нет;7 981 286 ₽;+114%;5 782;0 ₽;1 380 ₽;0 ₽;16 из 28;288 908 ₽;210;FBO;62 ч;3,8;38,0%;47,0%;345 044;95 177;0,41%;14,98%;4,4%;97,7%;2024-05-14
Кофе жареный зерновой JAMADJI (Джамаджи) 1 кг;2219016063;4607973271220;https://www.ozon.ru/product/2219016063;JAMADJI;Продукты питания;Кофе в зернах;Нет;7 876 153 ₽;+22%;7 017;0 ₽;1 122 ₽;0 ₽;18 из 28;279 577 ₽;249;FBO;34 ч;3,9;40,0%;51,0%;267 386;59 536;1,33%;18,52%;0,1%;97,2%;2025-06-01
Кофе в зёрнах Piazza del Caffe Gusto Classico, 1 кг;956937616;1774-06, 1774-06;https://www.ozon.ru/product/956937616;Piazza del Caffe;Продукты питания;Кофе в зернах;Нет;7 552 233 ₽;-2%;5 646;1 ₽;1 338 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,5;40,0%;50,0%;526 570;88 979;0,74%;7,73%;10,6%;0,0%;0001-01-01
Кофе в зёрнах Poetti Daily Mokka, арабика, робуста, 1 кг;686577164;18101;https://www.ozon.ru/product/686577164;Poetti;Продукты питания;Кофе в зернах;Нет;7 445 121 ₽;-47%;5 335;0 ₽;1 396 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,8;42,0%;54,0%;281 876;65 202;0,99%;9,56%;2,3%;0,0%;0001-01-01
Дрип кофе Sibaristica Drip Max, Эфиопия, Колумбия, Гватемала (Набор молотого кофе в дрип-пакетах) 24шт*10гр;865313780;К0000003460;https://www.ozon.ru/product/865313780;Sibaristica;Продукты питания;Кофе в дрип-пакетах;Нет;7 187 231 ₽;-14%;8 747;0 ₽;822 ₽;0 ₽;9 из 28;255 474 ₽;311;FBO;28 ч;3,5;42,0%;54,0%;623 330;97 849;0,78%;11,15%;10,3%;97,8%;2023-02-15
LAST WISH Бразилия Моджиана 100% арабика кофе в зернах 1 кг средняя обжарка;243907690;БМ-1;https://www.ozon.ru/product/243907690;LAST WISH;Продукты питания;Кофе в зернах;Нет;6 974 223 ₽;-27%;4 027;1 ₽;1 732 ₽;0 ₽;20 из 28;247 014 ₽;143;FBO;34 ч;8,7;40,0%;50,0%;534 309;63 509;0,21%;11,96%;7,2%;97,4%;2021-03-22
Кофе в зёрнах EGOISTE Noir, арабика, 1 кг;34362277;"4260283250356;4260283250356";https://www.ozon.ru/product/34362277;EGOISTE;Продукты питания;Кофе в зернах;Нет;6 961 337 ₽;-31%;3 014;1 ₽;2 310 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,3;35,0%;41,0%;203 822;31 652;0,68%;9,14%;2,1%;0,0%;0001-01-01
Кофе в зернах Tasty Coffee Натти, 250 г;714928271;4_1ЭС020;https://www.ozon.ru/product/714928271;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;6 915 973 ₽;+9%;11 646;0 ₽;594 ₽;0 ₽;21 из 28;113 928 ₽;193;FBO;50 ч;1,5;42,0%;55,0%;567 505;108 856;1,39%;10,31%;15,9%;96,1%;2022-09-16
Кофе растворимый Нескафе Классик Кремá, 450 г;1563876584;12583163;https://www.ozon.ru/product/1563876584;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;6 699 063 ₽;-33%;5 612;0 ₽;1 194 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,1;41,0%;51,0%;334 762;52 253;0,78%;11,30%;3,1%;0,0%;0001-01-01
Кофе молотый Poetti Daily Mokka, 250 г;686577016;18102;https://www.ozon.ru/product/686577016;Poetti;Продукты питания;Кофе молотый;Нет;6 694 569 ₽;-10%;18 321;0 ₽;365 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,9;53,0%;76,0%;546 769;108 307;1,85%;15,21%;3,3%;0,0%;0001-01-01
Кофе в зернах Lavazza Qualita Oro 1 кг Арабика 100% Италия;1851638675;CS oro.;https://www.ozon.ru/product/1851638675;Lavazza;Продукты питания;Кофе в зернах;Нет;6 689 030 ₽;+138%;4 444;0 ₽;1 505 ₽;0 ₽;27 из 28;228 316 ₽;152;FBO,FBS;48 ч;4,3;38,0%;46,0%;1 179 519;83 470;0,33%;9,45%;15,2%;91,0%;2025-01-30
Кофе натуральный растворимый сублимированный Jardin Colombia Medellin, 240 г;147404013;1412-08-0, 1412-08-0;https://www.ozon.ru/product/147404013;Jardin;Продукты питания;Кофе растворимый;Нет;6 580 093 ₽;-17%;9 324;0 ₽;706 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,3;40,0%;50,0%;901 811;94 644;0,44%;11,53%;15,7%;0,0%;0001-01-01
Кофе растворимый Monarch Caramel, 95 г;281052102;8051221;https://www.ozon.ru/product/281052102;Monarch;Продукты питания;Кофе растворимый;Нет;6 576 202 ₽;-51%;16 393;0 ₽;401 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,7;42,0%;55,0%;611 926;212 144;1,67%;9,47%;2,4%;0,0%;0001-01-01
Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;288435393;ДрипБэрри;https://www.ozon.ru/product/288435393;Tasty Coffee;Продукты питания;Кофе в дрип-пакетах;Нет;6 332 290 ₽;-26%;14 390;1 ₽;440 ₽;0 ₽;20 из 28;120 116 ₽;277;FBO;46 ч;1,7;46,0%;62,0%;499 038;119 477;1,92%;12,27%;16,5%;96,5%;2021-07-13
Кофе растворимый Нескафе, Голд Арома Интенсо, 500 г;1563876583;12583118;https://www.ozon.ru/product/1563876583;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;6 330 683 ₽;+11%;4 293;0 ₽;1 475 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;7,7;41,0%;52,0%;435 127;68 478;0,32%;9,87%;5,3%;0,0%;0001-01-01
Кофе жареный зерновой JAMBO (Джамбо) 1 кг;2200355363;4607973270490;https://www.ozon.ru/product/2200355363;JAMBO;Продукты питания;Кофе в зернах;Нет;6 325 488 ₽;+17%;5 630;0 ₽;1 124 ₽;0 ₽;20 из 28;225 145 ₽;200;FBO;33 ч;3,4;40,0%;51,0%;198 399;40 917;1,31%;20,77%;0,1%;97,3%;2025-05-28
Кофе в зернах 1 кг, свежая средняя обжарка, Crema Premium, робуста 100%;3043974799;INBRСREMA1000;https://www.ozon.ru/product/3043974799;initio de coffee;Продукты питания;Кофе в зернах;Нет;6 298 145 ₽;+207%;4 785;0 ₽;1 316 ₽;0 ₽;19 из 28;220 213 ₽;167;FBO;37 ч;3,7;39,0%;48,0%;597 467;75 318;0,57%;10,10%;7,0%;95,3%;2025-10-30
Кофе в зернах DeLonghi BIANCO CREMA 800 гр.;2224088713;AS00010008;https://www.ozon.ru/product/2224088713;DeLonghi;Продукты питания;Кофе в зернах;Нет;6 206 035 ₽;-44%;4 682;1 ₽;1 326 ₽;0 ₽;15 из 28;219 470 ₽;165;FBO;37 ч;3,7;40,0%;50,0%;173 263;109 988;0,97%;8,34%;3,1%;96,6%;2025-06-02
Кофе молотый Tasty Coffee Натти, 250 г;714927999;4_0ЭС020;https://www.ozon.ru/product/714927999;Tasty Coffee;Продукты питания;Кофе молотый;Нет;6 202 014 ₽;+27%;10 392;1 ₽;597 ₽;0 ₽;21 из 28;107 737 ₽;181;FBO;51 ч;1,3;42,0%;55,0%;574 056;85 217;1,26%;11,61%;13,4%;96,5%;2022-09-16
Кофе в зернах 1 кг для кофемашины, 1000 г, 100% арабика ЭФИОПИЯ ДЖИММА MARKET дата обжарки 23.12.2025;916652918;eth-market;https://www.ozon.ru/product/916652918;Lemur Coffee Roasters;Продукты питания;Кофе в зернах;Нет;6 158 604 ₽;+10%;3 864;0 ₽;1 594 ₽;0 ₽;22 из 28;217 183 ₽;136;FBO;35 ч;5,6;39,0%;48,0%;311 780;35 464;0,36%;12,42%;2,2%;97,3%;2023-03-30
Кофе в зернах DeLonghi MILK SELECTION BLEND, 800г;1766828286;AS00009456;https://www.ozon.ru/product/1766828286;DeLonghi;Продукты питания;Кофе в зернах;Нет;6 117 096 ₽;-30%;4 222;0 ₽;1 449 ₽;0 ₽;17 из 28;216 046 ₽;149;FBO;54 ч;3,5;38,0%;46,0%;212 699;118 900;0,64%;8,10%;4,3%;97,0%;2024-11-25
Кофе в зернах Tasty Coffee Бразилия Серрадо, 250 г;643775232;2_1СЕРРАД_ЗЕРН;https://www.ozon.ru/product/643775232;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;6 026 068 ₽;+3%;10 125;1 ₽;595 ₽;0 ₽;21 из 28;80 173 ₽;135;FBO;50 ч;1,5;42,0%;55,0%;517 257;87 038;1,17%;11,26%;14,0%;96,3%;2022-07-15
Кофе в зернах 1 кг, 100% Арабика, Бразилия, ВКУСНО КОФЕ свежеобжаренный зерновой;1436475995;КК-ВБ-002;https://www.ozon.ru/product/1436475995;ВкусноКофе;Продукты питания;Кофе в зернах;Нет;6 016 092 ₽;-14%;4 165;1 ₽;1 444 ₽;458 203 ₽;22 из 28;229 043 ₽;159;FBO;35 ч;2,9;37,0%;45,0%;409 895;70 519;0,16%;14,24%;11,1%;97,1%;2024-02-26
Кофе молотый Жокей Традиционный, 450 г;33069372;0345-12-Н, 0345-12-0, 0345-12-0;https://www.ozon.ru/product/33069372;Жокей;Продукты питания;Кофе молотый;Нет;5 796 219 ₽;-27%;10 349;0 ₽;560 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,3;43,0%;56,0%;302 975;81 880;0,90%;14,20%;3,3%;0,0%;0001-01-01
Кофе растворимый сублимированный Московская Кофейня на паяхъ, Арабика, 230 гр.;935349579;4601985006405;https://www.ozon.ru/product/935349579;Московская кофейня на паяхъ;Продукты питания;Кофе растворимый;Нет;5 771 503 ₽;+46%;5 978;0 ₽;965 ₽;0 ₽;24 из 28;204 344 ₽;212;FBO;48 ч;3,4;40,0%;51,0%;298 773;38 394;0,54%;15,92%;1,4%;97,4%;2023-04-13
Кофе растворимый Monarch Miligrano, с молотым, 200 г;189236171;8052484;https://www.ozon.ru/product/189236171;Monarch;Продукты питания;Кофе растворимый;Нет;5 709 532 ₽;-31%;7 751;1 ₽;737 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,3;39,0%;50,0%;459 327;100 478;0,61%;10,19%;2,5%;0,0%;0001-01-01
Кофе в зернах 1 кг BELLO COFFEE ITALY ESPRESSO ORIGINALE;615571904;BC-ORIGINALE-1000;https://www.ozon.ru/product/615571904;BELLO COFFEE;Продукты питания;Кофе в зернах;Нет;5 695 859 ₽;+67%;4 054;117 ₽;1 405 ₽;0 ₽;7 из 28;196 800 ₽;140;FBO;28 ч;3,1;38,0%;48,0%;372 184;57 760;0,52%;12,86%;4,7%;97,3%;2022-06-14
Кофе в зернах Tasty Coffee Кэнди, 1 кг;643732013;4ЭС020;https://www.ozon.ru/product/643732013;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;5 634 760 ₽;+5%;2 461;1 ₽;2 290 ₽;0 ₽;25 из 28;200 129 ₽;87;FBO;47 ч;3,6;35,0%;42,0%;224 466;44 759;0,52%;7,71%;8,5%;96,4%;2022-07-15
Кофе в зернах свежей обжарки Sibaristica Blue Magic (Бразилия и Эфиопия), 1 кг;871433661;К0000003548;https://www.ozon.ru/product/871433661;Sibaristica;Продукты питания;Кофе в зернах;Нет;5 563 047 ₽;+12%;3 097;147 ₽;1 796 ₽;0 ₽;12 из 28;195 998 ₽;109;FBO;28 ч;3,8;37,0%;45,0%;437 176;33 983;0,23%;10,63%;8,1%;96,3%;2023-02-21
Кофе молотый Tasty Coffee Бразилия Серрадо, 250 г;649574744;2_1СЕРРАД_МОЛЛ;https://www.ozon.ru/product/649574744;Tasty Coffee;Продукты питания;Кофе молотый;Нет;5 484 103 ₽;+11%;9 140;1 ₽;600 ₽;0 ₽;21 из 28;98 905 ₽;165;FBO;49 ч;1,5;42,0%;55,0%;532 383;70 293;1,08%;12,56%;13,2%;96,2%;2022-07-22
Кофе в зёрнах Jardin Americano Crema, арабика, робуста, 1 кг;138355208;1090-06-Н, 1090-06-0, 1090-06-0;https://www.ozon.ru/product/138355208;Jardin;Продукты питания;Кофе в зернах;Нет;5 443 728 ₽;-46%;3 448;0 ₽;1 579 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,1;38,0%;46,0%;455 991;43 977;0,45%;9,97%;9,1%;0,0%;0001-01-01
Кофе в зёрнах Monarch Original, 1 кг;177340387;8050260;https://www.ozon.ru/product/177340387;Monarch;Продукты питания;Кофе в зернах;Нет;5 438 778 ₽;-63%;3 425;1 ₽;1 588 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,5;39,0%;48,0%;200 694;42 255;1,01%;10,44%;3,6%;0,0%;0001-01-01
Кофе растворимый ОРИГИНАЛ NESCAFE GOLD 900 г;1492719331;NSCF_gold900;https://www.ozon.ru/product/1492719331;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;5 359 799 ₽;-4%;2 054;0 ₽;2 609 ₽;0 ₽;21 из 28;188 679 ₽;72;FBO;41 ч;4,3;36,0%;43,0%;115 198;28 315;0,72%;10,89%;0,5%;95,8%;2024-03-22
Кофе молотый Жокей По-восточному, 450 г;33069369;0346-12-Н, 0346-12-0, 0346-12-0;https://www.ozon.ru/product/33069369;Жокей;Продукты питания;Кофе молотый;Нет;5 331 066 ₽;-50%;8 171;1 ₽;652 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,2;40,0%;52,0%;239 555;83 368;1,05%;12,20%;2,9%;0,0%;0001-01-01
Кофе в зернах 1кг, LALIBELA COFFEE CLASSIC, арабика 30%;833673668;89235;https://www.ozon.ru/product/833673668;Lalibela сoffee;Продукты питания;Кофе в зернах;Нет;5 297 084 ₽;+152%;4 978;0 ₽;1 064 ₽;0 ₽;20 из 28;185 582 ₽;175;FBO,FBS;42 ч;4,8;41,0%;52,0%;488 128;77 790;0,55%;12,68%;5,5%;96,2%;2023-01-10
Кофе в зернах 1 кг Face to Face FORTE, арабика робуста, свежая обжарка, от Производителя;3249207427;102758;https://www.ozon.ru/product/3249207427;Face to Face;Продукты питания;Кофе в зернах;Нет;5 290 464 ₽;+642%;4 746;87 ₽;1 115 ₽;1 424 592 ₽;24 из 28;237 732 ₽;214;FBO;41 ч;3,9;39,0%;48,0%;195 279;48 716;1,24%;18,40%;0,3%;97,0%;2025-12-17
Кофе в зёрнах Jardin Dessert Cup, арабика, 1 кг;185535041;1629-06-0, 1629-06-0;https://www.ozon.ru/product/185535041;Jardin;Продукты питания;Кофе в зернах;Нет;5 286 762 ₽;-29%;3 486;0 ₽;1 517 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;6,6;39,0%;48,0%;405 824;42 401;0,45%;11,69%;8,4%;0,0%;0001-01-01
